source_id	geo	source_class	languages	name	url	topics	http_status	final_url	content_type	page_title	canonical_url	rss_or_atom	robots_url	robots_status	robots_sitemaps	probe_error	checked_at_utc
GE-01	GE	A	ka;en	Revenue Service of Georgia	https://rs.ge/	customs;transit	200	https://rs.ge/	text/html; charset=utf-8	www.rs.ge - შემოსავლების სამსახური			https://rs.ge/robots.txt	404			2026-08-30T16:32:52+00:00
GE-02	GE	A	ka;en	Geostat	https://www.geostat.ge/	statistics;trade	200	https://www.geostat.ge/ka	text/html; charset=UTF-8	საქართველოს სტატისტიკის ეროვნული სამსახური			https://www.geostat.ge/robots.txt	200			2026-08-30T16:32:52+00:00
GE-03	GE	A	ka;en	Ministry of Economy Georgia	https://www.economy.ge/	transport;economy	200	https://www.economy.ge/	text/html; charset=UTF-8	საქართველოს ეკონომიკისა და მდგრადი განვითარების სამინისტრო			https://www.economy.ge/robots.txt	404			2026-08-30T16:32:53+00:00
GE-04	GE	B	ka;en	BM.GE	https://bm.ge/	business;transport	403	https://bm.ge/	text/html; charset=UTF-8	Just a moment...			https://bm.ge/robots.txt	403		HTTPError:403	2026-08-30T16:32:50+00:00
GE-05	GE	B	en	Agenda.ge	https://agenda.ge/	official;economy	ERROR	https://agenda.ge/					https://agenda.ge/robots.txt	ERROR		URLError:<urlopen error [Errno -2] Name or service not known>	2026-08-30T16:32:50+00:00
GE-06	GE	B	ka	Commersant Georgia	https://commersant.ge/	business;auto	200	https://commersant.ge/	text/html; charset=UTF-8	Commersant.ge			https://commersant.ge/robots.txt	200	https://commersant.ge/sitemap.xml		2026-08-30T16:32:51+00:00
GE-07	GE	B	ka	GBC Georgia	https://gbc.ge/	business;transport	403	https://gbc.ge/	text/html; charset=UTF-8	Just a moment...			https://gbc.ge/robots.txt	403		HTTPError:403	2026-08-30T16:32:50+00:00
GE-08	GE	B	ka;en	1TV Georgia	https://1tv.ge/	national;transport	403	https://1tv.ge/	text/html; charset=UTF-8	Just a moment...			https://1tv.ge/robots.txt	404		HTTPError:403	2026-08-30T16:32:50+00:00
GE-09	GE	B	ka	Netgazeti	https://netgazeti.ge/	national;infrastructure	200	https://netgazeti.ge/	text/html; charset=UTF-8	Homepage - Netgazeti	https://netgazeti.ge/	https://netgazeti.ge/feed/;https://netgazeti.ge/comments/feed/	https://netgazeti.ge/robots.txt	200	https://netgazeti.ge/sitemap_index.xml		2026-08-30T16:32:52+00:00
GE-10	GE	A	en	APM Terminals Poti	https://www.apmterminals.com/en/poti	port;containers	200	https://www.apmterminals.com/en/poti	text/html; charset=utf-8	Poti Port Georgia - APM Terminals			https://www.apmterminals.com/robots.txt	200			2026-08-30T16:32:54+00:00
JP-01	JP	A	ja;en	METI Japan	https://www.meti.go.jp/	industry;export	403	https://www.meti.go.jp/	text/html	指定されたページまたはファイルは存在しません （METI/経済産業省）			https://www.meti.go.jp/robots.txt	403		HTTPError:403	2026-08-30T16:32:52+00:00
JP-02	JP	A	ja;en	JAMA	https://www.jama.or.jp/	statistics;industry	200	https://www.jama.or.jp/	text/html	JAMA - 一般社団法人日本自動車工業会			https://www.jama.or.jp/robots.txt	404			2026-08-30T16:32:54+00:00
JP-03	JP	A	ja;en	Japan Customs	https://www.customs.go.jp/	customs;export	200	https://www.customs.go.jp/	text/html	�Ŋ� Japan Customs			https://www.customs.go.jp/robots.txt	200	https://www.customs.go.jp/sitemap_00.xml		2026-08-30T16:32:54+00:00
JP-04	JP	A	ja;en	JETRO	https://www.jetro.go.jp/	trade;export	200	https://www.jetro.go.jp/	text/html; charset=UTF-8	ジェトロ（日本貿易振興機構） | ジェトロ	https://www.jetro.go.jp/		https://www.jetro.go.jp/robots.txt	200			2026-08-30T16:32:52+00:00
JP-05	JP	B	en	Nikkei Asia	https://asia.nikkei.com/	business;auto	200	https://asia.nikkei.com/	text/html; charset=utf-8	Nikkei Asia - Business, Politics, Economy and Tech News & Analysis			https://asia.nikkei.com/robots.txt	200	https://asia.nikkei.com/sitemap.xml;https://asia.nikkei.com/sitemap_news.xml		2026-08-30T16:32:53+00:00
JP-06	JP	B	en	The Japan Times	https://www.japantimes.co.jp/	national;auto	200	https://www.japantimes.co.jp/	text/html; charset=UTF-8	The Japan Times - News On Japan, Business News, Opinion, Sports, Entertainment And More	https://www.japantimes.co.jp		https://www.japantimes.co.jp/robots.txt	200			2026-08-30T16:32:53+00:00
JP-07	JP	B	en	NHK World Japan	https://www3.nhk.or.jp/nhkworld/	national;industry	ERROR	https://www3.nhk.or.jp/nhkworld/					https://www3.nhk.or.jp/robots.txt	200	https://www3.nhk.or.jp/news/sitemap-news-index.xml;https://www3.nhk.or.jp/nhkworld/sitemap.xml	TimeoutError:The read operation timed out	2026-08-30T16:33:03+00:00
